user_id,mood,occasion,preferred_categories,product_id,product_type,style,color,season,interaction,timestamp
user_432,energetic,work,"['scarves', 'homewear']",prod_58,perfume,trendy,green,winter,clicked,2025-05-13 23:21:43
user_129,romantic,normal_day,"['skirts', 'perfumes', 'scarves']",prod_18,heels,trendy,black,winter,viewed,2025-07-11 01:21:43
user_415,sad,wedding,['scarves'],prod_223,skirt,casual,red,spring,added_to_cart,2025-05-08 16:21:43
user_409,romantic,party,"['skirts', 'homewear']",prod_94,heels,trendy,blue,autumn,clicked,2025-06-04 01:21:43
user_167,romantic,work,"['pajamas', 'scarves']",prod_250,scarf,elegant,red,all,clicked,2025-06-01 17:21:43
user_373,tired,work,"['dresses', 'pajamas']",prod_67,skirt,floral,red,spring,purchased,2025-05-03 19:21:43
user_446,tired,work,"['bags', 'heels']",prod_22,skirt,classic,blue,winter,clicked,2025-07-05 18:21:43
user_380,sad,eid,"['dresses', 'bags']",prod_264,perfume,trendy,pink,autumn,clicked,2025-05-07 23:21:43
user_36,happy,work,['perfumes'],prod_16,top,casual,beige,winter,purchased,2025-07-07 01:21:43
user_453,romantic,date_night,"['scarves', 'heels']",prod_17,dress,classic,white,winter,clicked,2025-06-07 07:21:43
user_306,energetic,party,"['dresses', 'skirts']",prod_266,skirt,casual,red,summer,purchased,2025-05-17 09:21:43
user_215,energetic,party,"['perfumes', 'dresses', 'heels']",prod_211,skirt,floral,beige,all,clicked,2025-06-03 11:21:43
user_345,romantic,work,"['dresses', 'bags']",prod_225,top,classic,blue,all,viewed,2025-05-19 16:21:43
user_315,bored,wedding,"['skirts', 'homewear']",prod_213,perfume,cozy,green,autumn,clicked,2025-05-27 14:21:43
user_276,romantic,date_night,"['tops', 'homewear', 'heels']",prod_206,makeup,cozy,green,winter,clicked,2025-04-15 17:21:43
user_318,romantic,wedding,"['homewear', 'skirts']",prod_11,perfume,floral,black,winter,clicked,2025-04-22 04:21:43
user_78,romantic,work,['tops'],prod_22,dress,cozy,red,summer,clicked,2025-05-11 09:21:43
user_130,happy,work,"['homewear', 'skirts', 'scarves']",prod_280,top,classic,green,autumn,clicked,2025-06-15 03:21:43
user_331,sad,work,['tops'],prod_50,top,elegant,white,spring,added_to_cart,2025-06-16 15:21:43
user_485,romantic,party,['skirts'],prod_247,scarf,cozy,red,winter,clicked,2025-07-07 03:21:43
user_69,happy,work,"['homewear', 'pajamas']",prod_59,pajamas,elegant,green,summer,clicked,2025-05-01 14:21:43
user_14,tired,normal_day,['homewear'],prod_253,dress,trendy,pink,winter,clicked,2025-05-04 16:21:43
user_74,tired,eid,['makeup'],prod_287,top,floral,blue,summer,added_to_cart,2025-05-15 23:21:43
user_139,tired,date_night,"['dresses', 'homewear']",prod_36,dress,floral,white,summer,clicked,2025-06-14 19:21:43
user_109,tired,eid,"['bags', 'scarves']",prod_133,pajamas,elegant,pink,all,purchased,2025-05-16 10:21:43
user_55,sad,date_night,"['perfumes', 'accessories']",prod_32,heels,floral,red,autumn,clicked,2025-06-25 09:21:43
user_112,tired,work,['skirts'],prod_265,makeup,casual,white,summer,viewed,2025-07-01 00:21:43
user_411,happy,eid,"['skirts', 'bags']",prod_60,bag,classic,beige,autumn,clicked,2025-07-07 06:21:43
user_222,energetic,work,"['pajamas', 'accessories']",prod_136,makeup,classic,green,all,added_to_cart,2025-05-26 16:21:43
user_391,happy,date_night,['accessories'],prod_134,skirt,floral,pink,all,clicked,2025-04-19 08:21:43
user_441,sad,eid,['dresses'],prod_21,heels,cozy,red,spring,viewed,2025-05-29 08:21:43
user_416,energetic,party,"['tops', 'bags', 'scarves']",prod_194,perfume,elegant,beige,winter,clicked,2025-05-08 20:21:43
user_228,romantic,wedding,"['scarves', 'homewear', 'bags']",prod_201,heels,elegant,green,summer,clicked,2025-05-09 05:21:43
user_489,sad,party,['dresses'],prod_118,perfume,cozy,white,spring,viewed,2025-06-05 23:21:43
user_493,tired,work,"['pajamas', 'dresses']",prod_240,top,cozy,blue,autumn,clicked,2025-06-21 01:21:43
user_497,energetic,normal_day,"['bags', 'skirts']",prod_168,top,cozy,blue,all,clicked,2025-05-18 02:21:43
user_418,happy,work,"['makeup', 'heels', 'dresses']",prod_70,skirt,elegant,green,all,viewed,2025-06-08 20:21:43
user_90,romantic,work,['perfumes'],prod_232,top,trendy,white,summer,clicked,2025-05-04 15:21:43
user_465,bored,wedding,['scarves'],prod_45,pajamas,trendy,black,winter,viewed,2025-04-24 14:21:43
user_26,romantic,party,"['perfumes', 'homewear']",prod_276,heels,classic,beige,autumn,clicked,2025-06-09 16:21:43
user_308,bored,date_night,"['skirts', 'heels']",prod_78,makeup,cozy,white,spring,added_to_cart,2025-07-02 12:21:43
user_312,bored,wedding,"['perfumes', 'heels', 'accessories']",prod_100,perfume,elegant,black,spring,clicked,2025-05-15 19:21:43
user_374,romantic,normal_day,"['skirts', 'homewear', 'scarves']",prod_268,bag,trendy,blue,spring,purchased,2025-04-25 04:21:43
user_210,sad,wedding,"['tops', 'bags']",prod_98,bag,elegant,white,summer,clicked,2025-05-01 13:21:43
user_170,energetic,eid,"['tops', 'heels', 'scarves']",prod_283,makeup,floral,white,summer,viewed,2025-05-29 20:21:43
user_243,sad,wedding,"['heels', 'tops', 'accessories']",prod_215,scarf,casual,beige,all,purchased,2025-04-27 06:21:43
user_479,energetic,party,['homewear'],prod_96,scarf,elegant,black,winter,viewed,2025-06-13 16:21:43
user_474,romantic,wedding,['perfumes'],prod_289,skirt,classic,green,autumn,viewed,2025-06-20 16:21:43
user_367,sad,work,"['tops', 'makeup']",prod_9,pajamas,floral,green,winter,added_to_cart,2025-05-13 02:21:43
user_451,energetic,normal_day,"['accessories', 'dresses']",prod_266,makeup,floral,red,spring,viewed,2025-05-25 16:21:43
user_363,happy,eid,['pajamas'],prod_232,scarf,cozy,blue,winter,clicked,2025-06-01 14:21:43
user_392,energetic,work,"['makeup', 'pajamas']",prod_41,heels,elegant,blue,all,clicked,2025-04-30 01:21:43
user_420,tired,normal_day,['heels'],prod_171,bag,elegant,beige,summer,added_to_cart,2025-06-19 21:21:43
user_121,energetic,work,"['tops', 'skirts']",prod_299,perfume,floral,white,all,clicked,2025-04-27 21:21:43
user_352,romantic,wedding,"['pajamas', 'makeup', 'heels']",prod_58,bag,floral,red,autumn,added_to_cart,2025-06-09 18:21:43
user_313,happy,wedding,"['heels', 'skirts', 'scarves']",prod_198,makeup,classic,pink,summer,added_to_cart,2025-06-23 00:21:43
user_57,sad,date_night,['tops'],prod_177,perfume,elegant,black,autumn,clicked,2025-05-13 07:21:43
user_468,happy,party,"['scarves', 'dresses', 'pajamas']",prod_299,top,classic,pink,winter,viewed,2025-06-26 13:21:43
user_436,romantic,date_night,"['homewear', 'accessories']",prod_91,bag,elegant,black,summer,added_to_cart,2025-07-11 21:21:43
user_115,happy,party,"['heels', 'accessories']",prod_207,bag,trendy,blue,all,added_to_cart,2025-05-09 21:21:43
user_124,sad,date_night,['perfumes'],prod_190,bag,casual,green,spring,clicked,2025-07-05 17:21:43
user_147,sad,work,"['homewear', 'scarves']",prod_68,scarf,elegant,pink,winter,added_to_cart,2025-07-11 04:21:43
user_250,bored,date_night,['accessories'],prod_179,scarf,floral,blue,winter,viewed,2025-06-17 23:21:43
user_161,bored,wedding,"['homewear', 'accessories']",prod_245,makeup,elegant,pink,winter,viewed,2025-06-10 12:21:43
user_328,happy,eid,"['scarves', 'makeup', 'accessories']",prod_190,heels,floral,white,spring,clicked,2025-06-23 11:21:43
user_271,sad,date_night,['pajamas'],prod_179,top,trendy,pink,summer,viewed,2025-07-09 10:21:43
user_349,sad,eid,['skirts'],prod_61,heels,cozy,blue,spring,added_to_cart,2025-05-13 06:21:43
user_498,romantic,date_night,"['accessories', 'dresses']",prod_224,heels,floral,red,autumn,purchased,2025-05-06 14:21:43
user_139,romantic,normal_day,"['homewear', 'skirts', 'makeup']",prod_123,bag,floral,black,summer,viewed,2025-06-22 02:21:43
user_191,happy,date_night,['pajamas'],prod_132,dress,cozy,black,summer,viewed,2025-07-01 17:21:43
user_168,sad,normal_day,"['perfumes', 'makeup']",prod_128,perfume,casual,green,all,viewed,2025-06-26 17:21:43
user_481,tired,eid,"['homewear', 'tops', 'makeup']",prod_240,heels,classic,white,summer,purchased,2025-06-12 15:21:43
user_498,bored,wedding,"['dresses', 'perfumes', 'bags']",prod_277,bag,trendy,white,all,viewed,2025-06-20 04:21:43
user_356,energetic,party,['tops'],prod_78,bag,casual,white,all,viewed,2025-05-25 18:21:43
user_466,energetic,party,"['heels', 'dresses']",prod_61,dress,casual,pink,autumn,clicked,2025-06-17 14:21:43
user_489,sad,wedding,['heels'],prod_219,scarf,cozy,blue,summer,purchased,2025-05-19 07:21:43
user_354,energetic,normal_day,['accessories'],prod_201,makeup,casual,black,all,added_to_cart,2025-05-23 00:21:43
user_424,tired,date_night,"['bags', 'perfumes', 'heels']",prod_9,scarf,elegant,red,summer,added_to_cart,2025-06-27 22:21:43
user_178,happy,eid,['tops'],prod_165,heels,classic,blue,autumn,clicked,2025-05-15 19:21:43
user_347,happy,normal_day,"['makeup', 'tops']",prod_128,skirt,cozy,black,autumn,purchased,2025-07-07 10:21:43
user_376,romantic,eid,"['makeup', 'pajamas']",prod_5,scarf,trendy,green,all,clicked,2025-06-17 13:21:43
user_212,tired,work,"['perfumes', 'tops']",prod_140,skirt,trendy,beige,winter,clicked,2025-05-15 00:21:43
user_375,tired,work,"['bags', 'skirts']",prod_34,scarf,casual,blue,all,clicked,2025-04-18 20:21:43
user_487,bored,normal_day,['accessories'],prod_37,perfume,elegant,beige,all,viewed,2025-04-16 13:21:43
user_306,romantic,eid,"['perfumes', 'accessories', 'heels']",prod_297,top,floral,white,all,clicked,2025-06-22 01:21:43
user_266,bored,party,['homewear'],prod_100,top,floral,white,winter,added_to_cart,2025-05-17 19:21:43
user_183,bored,normal_day,"['dresses', 'heels']",prod_17,perfume,cozy,pink,autumn,clicked,2025-05-27 15:21:43
user_319,bored,eid,"['accessories', 'makeup', 'heels']",prod_250,top,trendy,pink,winter,clicked,2025-05-03 14:21:43
user_170,energetic,normal_day,"['homewear', 'perfumes']",prod_84,skirt,casual,black,winter,added_to_cart,2025-07-12 07:21:43
user_96,romantic,wedding,"['makeup', 'homewear', 'skirts']",prod_38,pajamas,floral,beige,autumn,added_to_cart,2025-05-05 10:21:43
user_367,tired,eid,"['makeup', 'pajamas']",prod_176,heels,cozy,pink,spring,viewed,2025-05-26 05:21:43
user_207,energetic,date_night,['heels'],prod_102,perfume,cozy,beige,winter,added_to_cart,2025-05-08 07:21:43
user_461,energetic,date_night,"['scarves', 'heels']",prod_87,bag,floral,white,winter,viewed,2025-06-07 00:21:43
user_77,energetic,party,"['dresses', 'makeup']",prod_105,top,casual,black,autumn,clicked,2025-05-16 00:21:43
user_489,sad,wedding,['makeup'],prod_149,top,cozy,pink,summer,viewed,2025-05-24 15:21:43
user_97,energetic,normal_day,"['dresses', 'homewear', 'accessories']",prod_94,pajamas,classic,pink,spring,viewed,2025-04-16 23:21:43
user_237,romantic,eid,"['perfumes', 'heels']",prod_261,skirt,elegant,green,spring,clicked,2025-05-09 00:21:43
user_127,tired,eid,"['makeup', 'scarves', 'tops']",prod_76,perfume,cozy,black,summer,clicked,2025-05-25 23:21:43
user_307,tired,party,"['heels', 'accessories']",prod_124,skirt,floral,black,autumn,viewed,2025-05-03 17:21:43
user_310,sad,normal_day,['heels'],prod_98,bag,trendy,green,winter,viewed,2025-05-08 17:21:43
user_106,romantic,normal_day,['homewear'],prod_100,top,classic,white,spring,viewed,2025-05-05 14:21:43
user_29,tired,date_night,"['perfumes', 'dresses']",prod_219,makeup,trendy,blue,all,added_to_cart,2025-04-20 06:21:43
user_290,tired,wedding,"['makeup', 'skirts']",prod_216,scarf,cozy,black,spring,added_to_cart,2025-06-25 12:21:43
user_211,happy,eid,"['makeup', 'skirts']",prod_295,dress,floral,beige,winter,viewed,2025-05-09 07:21:43
user_325,energetic,eid,"['perfumes', 'pajamas', 'accessories']",prod_209,pajamas,floral,beige,autumn,viewed,2025-06-30 13:21:43
user_243,happy,wedding,"['makeup', 'heels']",prod_44,scarf,elegant,black,all,clicked,2025-06-30 20:21:43
user_456,tired,normal_day,['scarves'],prod_150,pajamas,casual,beige,winter,added_to_cart,2025-05-26 19:21:43
user_449,bored,party,['homewear'],prod_190,top,casual,black,all,clicked,2025-04-30 09:21:43
user_295,romantic,wedding,['pajamas'],prod_207,pajamas,floral,blue,spring,viewed,2025-07-11 20:21:43
user_187,romantic,normal_day,"['makeup', 'accessories', 'homewear']",prod_275,scarf,classic,pink,spring,purchased,2025-06-20 00:21:43
user_25,happy,party,"['accessories', 'bags']",prod_82,perfume,cozy,green,spring,purchased,2025-06-02 08:21:43
user_463,energetic,work,"['homewear', 'pajamas', 'accessories']",prod_249,top,elegant,red,summer,added_to_cart,2025-05-12 17:21:43
user_242,bored,date_night,"['pajamas', 'makeup']",prod_100,dress,classic,beige,autumn,viewed,2025-04-21 21:21:43
user_350,bored,party,"['perfumes', 'tops']",prod_228,bag,cozy,beige,summer,clicked,2025-05-31 20:21:43
user_453,bored,eid,"['pajamas', 'skirts', 'tops']",prod_191,bag,casual,black,winter,added_to_cart,2025-04-16 04:21:43
